entry_ts,exit_ts,direction,pnl_$,strat,rolling_calmar,size,pnl_$_scaled
2020-12-01 19:00:00-05:00,2020-12-02 06:20:00-05:00,LONG,-335.0,OD,,1.0,-335.0
2020-12-02 19:00:00-05:00,2020-12-02 23:20:00-05:00,LONG,-20.0,OD,,1.0,-20.0
2020-12-03 19:00:00-05:00,2020-12-04 07:20:00-05:00,LONG,310.0,OD,,1.0,310.0
2020-12-07 10:25:00-05:00,2020-12-07 13:40:00-05:00,LONG,-700.0,B2,,1.0,-700.0
2020-12-07 19:00:00-05:00,2020-12-08 02:00:00-05:00,LONG,-30.0,OD,,1.0,-30.0
2020-12-08 19:00:00-05:00,2020-12-08 20:40:00-05:00,LONG,-870.0,OD,,1.0,-870.0
2020-12-09 10:00:00-05:00,2020-12-09 10:20:00-05:00,LONG,-756.7308012170179,RV,,1.0,-756.7308012170179
2020-12-09 11:00:00-05:00,2020-12-09 12:00:00-05:00,SHORT,994.9954702163814,RV,,1.0,994.9954702163814
2020-12-09 10:40:00-05:00,2020-12-09 12:20:00-05:00,SHORT,812.1876262885053,B2,,1.0,812.1876262885053
2020-12-09 14:20:00-05:00,2020-12-09 15:00:00-05:00,SHORT,20.0,RV,,1.0,20.0
2020-12-09 13:55:00-05:00,2020-12-09 15:40:00-05:00,SHORT,1427.2383262173753,B2,,1.0,1427.2383262173753
2020-12-09 19:00:00-05:00,2020-12-09 22:20:00-05:00,LONG,-740.0,OD,,1.0,-740.0
2020-12-10 19:00:00-05:00,2020-12-10 22:00:00-05:00,LONG,-1730.0,OD,,1.0,-1730.0
2020-12-13 19:00:00-05:00,2020-12-14 00:40:00-05:00,LONG,-420.0,OD,,1.0,-420.0
2020-12-14 19:00:00-05:00,2020-12-14 21:20:00-05:00,LONG,-1140.0,OD,,1.0,-1140.0
2020-12-15 19:00:00-05:00,2020-12-16 06:20:00-05:00,LONG,760.0,OD,,1.0,760.0
2020-12-16 10:00:00-05:00,2020-12-16 11:40:00-05:00,LONG,869.2629516930901,RV,,1.0,869.2629516930901
2020-12-16 19:00:00-05:00,2020-12-17 03:20:00-05:00,LONG,1315.0,OD,,1.0,1315.0
2020-12-17 19:00:00-05:00,2020-12-17 21:40:00-05:00,LONG,-465.0,OD,,1.0,-465.0
2020-12-18 11:40:00-05:00,2020-12-18 15:00:00-05:00,SHORT,585.0,RV,,1.0,585.0
2020-12-20 19:00:00-05:00,2020-12-21 02:00:00-05:00,LONG,-570.0,OD,,1.0,-570.0
2020-12-21 19:00:00-05:00,2020-12-21 23:40:00-05:00,LONG,-270.0,OD,,1.0,-270.0
2020-12-22 10:00:00-05:00,2020-12-22 10:20:00-05:00,LONG,-1067.5298069886412,RV,,1.0,-1067.5298069886412
2020-12-22 19:00:00-05:00,2020-12-22 19:40:00-05:00,LONG,-2690.0,OD,,1.0,-2690.0
2020-12-23 19:00:00-05:00,2020-12-24 08:00:00-05:00,LONG,265.0,OD,,1.0,265.0
2020-12-27 19:00:00-05:00,2020-12-28 03:00:00-05:00,LONG,810.0,OD,,1.0,810.0
2020-12-28 19:00:00-05:00,2020-12-29 05:00:00-05:00,LONG,505.0,OD,,1.0,505.0
2020-12-29 19:00:00-05:00,2020-12-30 07:00:00-05:00,LONG,935.0,OD,,1.0,935.0
2020-12-30 11:00:00-05:00,2020-12-30 15:00:00-05:00,SHORT,75.0,RV,,1.0,75.0
2020-12-30 19:00:00-05:00,2020-12-30 23:20:00-05:00,LONG,-245.0,OD,,1.0,-245.0
2020-12-31 12:20:00-05:00,2020-12-31 15:00:00-05:00,SHORT,-520.0,RV,,1.0,-520.0
2021-01-03 19:00:00-05:00,2021-01-04 02:00:00-05:00,LONG,3120.0,OD,,1.0,3120.0
2021-01-04 19:00:00-05:00,2021-01-04 22:40:00-05:00,LONG,130.0,OD,,1.0,130.0
2021-01-05 09:40:00-05:00,2021-01-05 14:40:00-05:00,SHORT,-1397.2406816937655,RV,,1.0,-1397.2406816937655
2021-01-05 19:00:00-05:00,2021-01-05 19:40:00-05:00,LONG,-365.0,OD,,1.0,-365.0
2021-01-06 19:00:00-05:00,2021-01-07 02:00:00-05:00,LONG,2910.0,OD,,1.0,2910.0
2021-01-07 09:40:00-05:00,2021-01-07 10:20:00-05:00,LONG,1349.418586356478,RV,,1.0,1349.418586356478
2021-01-07 19:00:00-05:00,2021-01-08 04:20:00-05:00,LONG,245.0,OD,,1.0,245.0
2021-01-08 12:00:00-05:00,2021-01-08 13:40:00-05:00,LONG,-1300.0,B2,,1.0,-1300.0
2021-01-10 19:00:00-05:00,2021-01-10 21:00:00-05:00,LONG,-865.0,OD,,1.0,-865.0
2021-01-11 10:25:00-05:00,2021-01-11 14:40:00-05:00,LONG,-1130.0,B2,,1.0,-1130.0
2021-01-11 19:00:00-05:00,2021-01-11 23:20:00-05:00,LONG,-1150.0,OD,,1.0,-1150.0
2021-01-12 09:40:00-05:00,2021-01-12 10:00:00-05:00,SHORT,1048.8898913986486,RV,,1.0,1048.8898913986486
2021-01-12 11:20:00-05:00,2021-01-12 12:20:00-05:00,SHORT,1411.7214078343022,RV,,1.0,1411.7214078343022
2021-01-12 12:40:00-05:00,2021-01-12 14:20:00-05:00,SHORT,-1703.353944428236,RV,,1.0,-1703.353944428236
2021-01-12 19:00:00-05:00,2021-01-13 05:20:00-05:00,LONG,-330.0,OD,,1.0,-330.0
2021-01-13 10:00:00-05:00,2021-01-13 11:20:00-05:00,LONG,1286.578493928173,RV,,1.0,1286.578493928173
2021-01-13 13:05:00-05:00,2021-01-13 16:20:00-05:00,LONG,-210.0,B2,,1.0,-210.0
2021-01-13 19:00:00-05:00,2021-01-13 21:40:00-05:00,LONG,-380.0,OD,,1.0,-380.0
2021-01-14 19:00:00-05:00,2021-01-14 22:40:00-05:00,LONG,-625.0,OD,,1.0,-625.0
2021-01-15 10:40:00-05:00,2021-01-15 11:20:00-05:00,SHORT,1562.800495467818,RV,,1.0,1562.800495467818
2021-01-17 19:00:00-05:00,2021-01-18 06:00:00-05:00,LONG,2450.0,OD,,1.0,2450.0
2021-01-18 19:00:00-05:00,2021-01-18 22:20:00-05:00,LONG,1805.0,OD,,1.0,1805.0
2021-01-19 19:00:00-05:00,2021-01-20 07:20:00-05:00,LONG,1060.0,OD,,1.0,1060.0
2021-01-20 10:20:00-05:00,2021-01-20 13:20:00-05:00,LONG,1074.2457527784427,RV,,1.0,1074.2457527784427
2021-01-20 19:00:00-05:00,2021-01-21 01:20:00-05:00,LONG,740.0,OD,,1.0,740.0
2021-01-21 10:20:00-05:00,2021-01-21 15:00:00-05:00,LONG,680.0,RV,,1.0,680.0
2021-01-21 19:00:00-05:00,2021-01-21 21:00:00-05:00,LONG,-895.0,OD,,1.0,-895.0
2021-01-24 19:00:00-05:00,2021-01-25 02:40:00-05:00,LONG,2870.0,OD,,1.0,2870.0
2021-01-25 11:25:00-05:00,2021-01-25 13:20:00-05:00,LONG,3673.2276735247438,B2,,1.0,3673.2276735247438
2021-01-25 13:25:00-05:00,2021-01-25 16:20:00-05:00,LONG,485.0,B2,,1.0,485.0
2021-01-25 19:00:00-05:00,2021-01-25 23:20:00-05:00,LONG,-1440.0,OD,,1.0,-1440.0
2021-01-26 19:00:00-05:00,2021-01-27 03:00:00-05:00,LONG,-920.0,OD,,1.0,-920.0
2021-01-27 12:20:00-05:00,2021-01-27 14:40:00-05:00,SHORT,2507.3424273691853,RV,,1.0,2507.3424273691853
2021-01-27 12:00:00-05:00,2021-01-27 15:20:00-05:00,SHORT,2271.7120210226853,B2,,1.0,2271.7120210226853
2021-01-27 19:00:00-05:00,2021-01-27 23:20:00-05:00,LONG,455.0,OD,,1.0,455.0
2021-01-28 10:50:00-05:00,2021-01-28 15:00:00-05:00,LONG,1045.0,B2,,1.0,1045.0
2021-01-28 19:00:00-05:00,2021-01-28 20:40:00-05:00,LONG,-1555.0,OD,,1.0,-1555.0
2021-01-31 19:00:00-05:00,2021-01-31 22:40:00-05:00,LONG,4420.0,OD,,1.0,4420.0
2021-02-01 19:00:00-05:00,2021-02-01 21:20:00-05:00,LONG,2375.0,OD,,1.0,2375.0
2021-02-02 09:40:00-05:00,2021-02-02 12:00:00-05:00,LONG,1192.9116718387377,RV,,1.0,1192.9116718387377
2021-02-02 19:00:00-05:00,2021-02-03 02:40:00-05:00,LONG,1745.0,OD,,1.0,1745.0
2021-02-03 10:00:00-05:00,2021-02-03 10:20:00-05:00,LONG,-1286.9908766575463,RV,,1.0,-1286.9908766575463
2021-02-03 19:00:00-05:00,2021-02-03 22:20:00-05:00,LONG,-715.0,OD,,1.0,-715.0
2021-02-04 19:00:00-05:00,2021-02-05 03:40:00-05:00,LONG,1300.0,OD,,1.0,1300.0
2021-02-05 11:00:00-05:00,2021-02-05 13:00:00-05:00,LONG,1164.2991772918322,RV,,1.0,1164.2991772918322
2021-02-07 19:00:00-05:00,2021-02-08 02:40:00-05:00,LONG,420.0,OD,,1.0,420.0
2021-02-08 10:00:00-05:00,2021-02-08 11:40:00-05:00,LONG,-867.7202164527989,RV,,1.0,-867.7202164527989
2021-02-08 12:00:00-05:00,2021-02-08 15:00:00-05:00,SHORT,-180.0,RV,,1.0,-180.0
2021-02-08 19:00:00-05:00,2021-02-09 02:00:00-05:00,LONG,-35.0,OD,,1.0,-35.0
2021-02-09 10:00:00-05:00,2021-02-09 14:00:00-05:00,LONG,-842.6839968289642,RV,,1.0,-842.6839968289642
2021-02-09 12:10:00-05:00,2021-02-09 16:20:00-05:00,LONG,-115.0,B2,,1.0,-115.0
2021-02-09 19:00:00-05:00,2021-02-10 02:20:00-05:00,LONG,3070.0,OD,,1.0,3070.0
2021-02-10 10:35:00-05:00,2021-02-10 11:00:00-05:00,SHORT,2172.8308646636287,B2,,1.0,2172.8308646636287
2021-02-10 14:40:00-05:00,2021-02-10 15:00:00-05:00,SHORT,-95.0,RV,,1.0,-95.0
2021-02-10 19:00:00-05:00,2021-02-11 04:40:00-05:00,LONG,1355.0,OD,,1.0,1355.0
2021-02-11 12:05:00-05:00,2021-02-11 14:20:00-05:00,LONG,-1250.0,B2,,1.0,-1250.0
2021-02-11 14:55:00-05:00,2021-02-11 16:20:00-05:00,LONG,650.0,B2,,1.0,650.0
2021-02-11 19:00:00-05:00,2021-02-12 02:40:00-05:00,LONG,-675.0,OD,,1.0,-675.0
2021-02-12 14:50:00-05:00,2021-02-12 16:00:00-05:00,LONG,804.6456500105705,B2,,1.0,804.6456500105705
2021-02-14 19:00:00-05:00,2021-02-15 01:40:00-05:00,LONG,-320.0,OD,,1.0,-320.0
2021-02-15 19:00:00-05:00,2021-02-16 00:20:00-05:00,LONG,305.0,OD,,1.0,305.0
2021-02-16 10:00:00-05:00,2021-02-16 11:20:00-05:00,SHORT,888.1288313823097,RV,,1.0,888.1288313823097
2021-02-16 14:20:00-05:00,2021-02-16 15:00:00-05:00,SHORT,280.0,RV,,1.0,280.0
2021-02-16 19:00:00-05:00,2021-02-17 03:00:00-05:00,LONG,365.0,OD,,1.0,365.0
2021-02-17 10:00:00-05:00,2021-02-17 10:40:00-05:00,SHORT,1362.9951696575515,RV,,1.0,1362.9951696575515
2021-02-17 11:00:00-05:00,2021-02-17 11:20:00-05:00,SHORT,1697.529295822751,RV,,1.0,1697.529295822751
2021-02-17 12:00:00-05:00,2021-02-17 15:00:00-05:00,SHORT,-1160.0,RV,,1.0,-1160.0
2021-02-17 19:00:00-05:00,2021-02-17 20:20:00-05:00,LONG,-545.0,OD,,1.0,-545.0
2021-02-18 19:00:00-05:00,2021-02-18 20:20:00-05:00,LONG,-1840.0,OD,,1.0,-1840.0
2021-02-21 19:00:00-05:00,2021-02-21 21:20:00-05:00,LONG,-720.0,OD,,1.0,-720.0
2021-02-22 11:20:00-05:00,2021-02-22 15:00:00-05:00,SHORT,55.0,RV,,1.0,55.0
2021-02-22 19:00:00-05:00,2021-02-22 23:20:00-05:00,LONG,4290.0,OD,,1.0,4290.0
